Quiz,Correct,Wrong,Made,,,,
度数が高いのは？,日本酒,シャンパン,5,3,ニホンシュ,シャンパン,5.35
二十四節気において、1月20日頃は何と呼ばれているか？,大寒,小寒,3,3,ダイカン,ショウカン,7
日本一広い公園は？,国営木曽三川公園,国営アルプスあづみの公園,4,3,コクエイキソミガワコウエン,コクエイアルプスアヅミノコウエン,15.5
麻雀で、一と九の牌のみでできる役満を何と呼ぶか？,清老頭,国士無双,2,3,チンラオトウ,コクシムソウ,8.5
日本人のノーベル賞受賞者数が多いのは？,物理学賞,化学賞,5,3,ブツリガクショウ,カガクショウ,9.2
出身の総理大臣が多いのは？,山口県,群馬県,5,3,ヤマグチケン,グンマケン,7
保育園を管轄しているのは？　,厚生労働省,文部科学省,5,3,コウセイロウドウショウ,モンブカガクショウ,11.7
「TPP」とは何の略称？,環太平洋戦略的経済連携協定,環太平洋戦略的環境連携協定,2,3,カンタイヘイヨウセンリャクテキケイザイレンケイキョウテイ,カンタイヘイヨウセンリャクテキカンキョウレンケイキョウテイ,46.3
中国の森林で発見された化石人類を何と呼ぶ？,北京原人,蓬莱原人,2,3,ペキンゲンジン,ホウライゲンジン,13.9
神話の霊獣「四神」の中で、西方を守護する神を何と呼ぶ？,白虎,青龍,2,3,ビャッコ,アオリュウ,9.6
数学界の賞「フィールズ賞」のメダルに描かれているのは誰？,アルキメデス,ソクラテス,2,3,アルキメデス,ソクラテス,12.4
二大印刷会社の一角である、略称を「DNP」とする企業の名は？,大日本印刷株式会社,凸版印刷,2,3,ダイニッポンインサツカブシキガイシャ,トッパンインサツ,26.3
日本の小説家・太宰治の本名は？,津島修治,綱川修,2,3,ツシマシュウジ,ツナカワオサム,12.7
40分で終戦した戦争は？,ザンジバル戦争,マケドニア戦争,4,3,ザンジバルセンソウ,マケドニアセンソウ,16.1
小型恐竜「オビラプトル」の名前の由来は？,卵泥棒,小さな漁師,4,3,タマゴドロボウ,チイサナリョウシ,13.8
スタジオジブリの第一作品は？,天空の城ラピュタ,風の谷のナウシカ,5,3,テンクウノシロラピュタ,カゼノタニノナウシカ,19
突き指をした際の適切な処置は？,指を冷やす,指を温める,5,3,ユビヲヒヤス,ユビヲアタタメル,12.5
スーパーマリオのアニメ化の際クッパの声優を務めたのは？,和田アキ子,小林幸子,5,3,ワダアキコ,コバヤシサチコ,12.1
かつて通天閣の地下に合った施設は？,水族館,美術館,5,3,スイゾクカン,ビジュツカン,11.3
生物が放つ微弱な電気を感知できるのは？,ハンマーヘッドシャークの頭,バンドウイルカの口,4,3,ハンマーヘッドシャークノアタマ,バンドウイルカノクチ,24.1
子どもが一歳の初誕生日を迎えた時には何を使い子供の健康を願う？,一升餅,高坏（たかつき）,5,3,イッショウモチ,タカツキ（タカツキ）,16.2
野原しんのすけが通っている幼稚園の名前は？,アクション幼稚園,かいじゅう幼稚園,5,3,アクションヨウチエン,カイジュウヨウチエン,18.7
ディズニーランドのシンデレラ城の地下にあるのは？,防災用具の倉庫,掃除用具の倉庫,5,3,ボウサイヨウグノソウコ,ソウジヨウグノソウコ,19.8
元禄文化が栄えたのは何時代？,江戸時代,安土桃山時代,3,2,エドジダイ,アヅチモモヤマジダイ,12.4
GNPが表すのは？,国民総生産,国内総生産,3,2,コクミンソウセイサン,コクナイソウセイサン,16.9
「DJ」は何の略？,ディスクジョッキー,ディスクジャグラー,4,2,ディスクジョッキー,ディスクジャグラー,16.2
アヘン戦争後の講和条約といえば？,南京条約,北京条約,3,2,ナンキンジョウヤク,ペキンジョウヤク,15.4
長いのはどっち？,赤道半周,南極から北極まで,3,2,セキドウハンシュウ,ナンキョクカラホッキョクマデ,18
日本近海の主な４つのプレートに含まれるのは？,フィリピン海プレート,インド海プレート,3,2,フィリピンカイプレート,インドカイプレート,19.5
"電流,磁界,力の向きを表した法則は？",フレミングの左手の法則,右ねじの法則,3,2,フレミングノヒダリテノホウソク,ミギネジノホウソク,15.2
勤務年数が上がるにつれて賃金が上がる制度は？,年功序列賃金制,終身雇用制,3,2,ネンコウジョレツチンギンセイ,シュウシンコヨウセイ,14.8
PKOは何の略称？,国連平和維持活動,国連平和維持軍,3,2,コクレンヘイワイジカツドウ,コクレンヘイワイジグン,13.5
ILOは何の略称？？,国際労働機関,国際通貨基金,3,2,コクサイロウドウキカン,コクサイツウカキキン,11.8
743年に制定された土地の私有を許可した法律は？,墾田永年私財法,班田収授法,3,2,コンデンエイネンシザイホウ,ハンデンシュウジュホウ,14.7
初代征夷大将軍となったのは？,坂上田村麻呂,平将門,3,2,サカノウエノタムラマロ,タイラノマサカド,11.3
藤原清衝が建立したのは？,中尊寺金色堂,法隆寺,3,2,チュウソンジコンジキドウ,ホウリュウジ,11.1
十返舎一九が作ったのは？,東海道中膝栗毛,南総里見八犬伝,3,2,トウカイドウチュウヒザクリゲ,ナンソウサトミハッケンデン,14.9
